"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 11 12:43:01 CEST 2022","Wed May 11 12:43:16 CEST 2022","14957","","Functional Testing on Application","","Functional Testing on Application","Scrolling and Mouse over","Scrolling and Mouse over",""
"passed","Wed May 11 12:43:01 CEST 2022","Wed May 11 12:43:44 CEST 2022","43053","","Ecommerce Application","","Ecommerce Application","End to End Checkout Flow - Smoke","End to End Checkout Flow - Smoke",""
"passed","Wed May 11 12:43:30 CEST 2022","Wed May 11 12:43:33 CEST 2022","3090","","UI Controls Test Suite","","UI Controls Test Suite","UI Controls","UI Controls",""
"passed","Wed May 11 12:43:33 CEST 2022","Wed May 11 12:43:37 CEST 2022","3275","","UI Controls Test Suite","","UI Controls Test Suite","Dynamic Dropdown Controls","Dynamic Dropdown Controls",""
"passed","Wed May 11 12:43:16 CEST 2022","Wed May 11 12:43:19 CEST 2022","2335","","Functional Testing on Application","","Functional Testing on Application","Handling alert messages","Handling alert messages",""
"passed","Wed May 11 12:43:45 CEST 2022","Wed May 11 12:43:49 CEST 2022","4487","","Windows and Frames Miscellanous","","Windows and Frames Miscellanous","Frames switch","Frames switch",""
"passed","Wed May 11 12:43:40 CEST 2022","Wed May 11 12:43:45 CEST 2022","4417","","Windows and Frames Miscellanous","","Windows and Frames Miscellanous","Parent and Child windows switch","Parent and Child windows switch",""
"passed","Wed May 11 12:43:01 CEST 2022","Wed May 11 12:43:20 CEST 2022","18765","","Ecommerce Application","","Ecommerce Application","End to End Checkout Flow","End to End Checkout Flow",""
"passed","Wed May 11 12:43:01 CEST 2022","Wed May 11 12:43:05 CEST 2022","4255","","Ecommerce Application","","Ecommerce Application","Login Fail page - Smoke","Login Fail page - Smoke",""
"passed","Wed May 11 12:43:05 CEST 2022","Wed May 11 12:43:41 CEST 2022","35635","","Ecommerce Application","","Ecommerce Application","Login Success page title - Smoke","Login Success page title - Smoke",""
"passed","Wed May 11 12:43:37 CEST 2022","Wed May 11 12:43:38 CEST 2022","990","","UI Controls Test Suite","","UI Controls Test Suite","Checkbox Identification","Checkbox Identification",""
"broken","Wed May 11 12:43:20 CEST 2022","Wed May 11 12:44:10 CEST 2022","50005","","Functional Testing on Application","","Functional Testing on Application","Web Tables Filter Validation","Web Tables Filter Validation",""
"passed","Wed May 11 12:43:19 CEST 2022","Wed May 11 12:43:20 CEST 2022","1346","","Functional Testing on Application","","Functional Testing on Application","Web Tables Sort Validation","Web Tables Sort Validation",""
